time,tavg,tmin,tmax,prcp,,,,,
01-01-1990,20.1,,28,0,,,,,
02-01-1990,20.7,16.4,,0,,,,,
03-01-1990,20.7,16,27.4,0,,,,,
04-01-1990,18.8,,28,0,,,,,
05-01-1990,19.8,11,28.2,0,,,,,
06-01-1990,22.2,12.5,,0,,,,,
07-01-1990,20.8,,,0,,,,,
08-01-1990,20.3,13.6,29.5,0,,,,,
09-01-1990,22.3,14.8,31.6,0,,,,,
10-01-1990,21.6,14.5,30.8,0,,,,,
11-01-1990,21.7,15.6,30.7,0,,,,,
12-01-1990,21.2,12.8,29.3,0,,,,,
13-01-1990,22.6,,29.5,,,,,,
14-01-1990,24.9,14,32.1,0,,,,,
15-01-1990,24.7,15.5,33.4,0,,,,,
16-01-1990,23.4,15.6,31.3,0,,,,,
17-01-1990,19.7,15,,0,,,,,
18-01-1990,29.5,,34.1,,,,,,
19-01-1990,24.2,16.2,33.4,0,,,,,
20-01-1990,26.4,15.4,34,0,,,,,
21-01-1990,25.1,17,32.1,0,,,,,
22-01-1990,25.3,17.7,32.9,0,,,,,
23-01-1990,24.9,17.3,33.6,0,,,,,
24-01-1990,25.8,,32.7,0,,,,,
25-01-1990,25.4,18.4,33,0,,,,,
26-01-1990,25.1,18.8,32.3,0,,,,,
27-01-1990,24.3,14.2,33,0,,,,,
28-01-1990,22.3,15,33,0,,,,,
29-01-1990,22.4,15.8,,0,,,,,
30-01-1990,26.6,17,35,0,,,,,
31-01-1990,25.1,17.4,34.4,0,,,,,
01-02-1990,25.6,17.4,34,0,,,,,
02-02-1990,26.8,,33.5,0,,,,,
03-02-1990,26.5,,32.5,0,,,,,
04-02-1990,25.4,19.7,34,0,,,,,
05-02-1990,26.2,19.6,33.7,0,,,,,
06-02-1990,24.8,19.8,32.8,0,,,,,
07-02-1990,25.4,19.2,32.9,0,,,,,
08-02-1990,24.2,,,0,,,,,
09-02-1990,25.1,19.4,,0,,,,,
10-02-1990,27.1,18.5,32.2,,,,,,
11-02-1990,25.6,18.8,33.3,0,,,,,
12-02-1990,25.4,19.1,35.4,0,,,,,
13-02-1990,24.4,,34.6,0,,,,,
14-02-1990,26.2,21.6,31,,,,,,
15-02-1990,20.8,,24,5.1,,,,,
16-02-1990,23.1,17.3,29.2,6.6,,,,,
17-02-1990,24.4,19,32,0,,,,,
18-02-1990,21.6,19.6,26.3,9.1,,,,,
19-02-1990,24.1,,29.1,0,,,,,
20-02-1990,23.4,18.4,,0,,,,,
21-02-1990,22.6,18.6,30.4,14.7,,,,,
22-02-1990,24.2,19.2,29.8,0,,,,,
23-02-1990,24.5,19.5,,,,,,,
24-02-1990,23.1,18.7,29.6,5.3,,,,,
25-02-1990,24.7,18.8,,0,,,,,
26-02-1990,26.8,20.4,,0,,,,,
27-02-1990,25.9,18.8,33.5,0,,,,,
28-02-1990,25.7,21.2,32.4,0,,,,,
01-03-1990,26.9,22.5,33.8,,,,,,
02-03-1990,25.6,,32.7,0,,,,,
03-03-1990,21.4,17.2,25.2,52.3,,,,,
04-03-1990,22.3,18,27.1,3,,,,,
05-03-1990,24.2,19.5,,0,,,,,
06-03-1990,23.4,,29.4,0,,,,,
07-03-1990,25.3,19.8,29.8,7.4,,,,,
08-03-1990,26.2,20.1,31.8,0,,,,,
09-03-1990,26.1,21.6,31.6,,,,,,
10-03-1990,24.6,20.6,31.8,0,,,,,
11-03-1990,24.4,,31.2,,,,,,
12-03-1990,24.8,18.8,30.3,0,,,,,
13-03-1990,25.3,,31,0,,,,,
14-03-1990,25.7,20.4,30.9,,,,,,
15-03-1990,26.1,21.6,31.1,0,,,,,
16-03-1990,26.5,22,31.9,0,,,,,
17-03-1990,26.6,21.5,31.9,0,,,,,
18-03-1990,26.8,20.4,32.6,0,,,,,
19-03-1990,27.9,,34.3,0,,,,,
20-03-1990,29.4,,36.3,0,,,,,
21-03-1990,29.2,23.4,35.7,0,,,,,
22-03-1990,29.1,24,,,,,,,
23-03-1990,29.2,25.5,33.9,,,,,,
24-03-1990,28.3,,33.5,0,,,,,
25-03-1990,27.3,,,,,,,,
26-03-1990,25.5,,32,,,,,,
27-03-1990,27.3,20,31.9,,,,,,
28-03-1990,25.4,22.2,32,7.6,,,,,
29-03-1990,26.6,22.2,32.1,0.3,,,,,
30-03-1990,27.9,22.1,33.7,0,,,,,
31-03-1990,,,,,,,,,
01-04-1990,26.6,,36.5,0,,,,,
02-04-1990,27.5,20.6,32.7,30.7,,,,,
03-04-1990,24.4,22,30,2.5,,,,,
04-04-1990,25.1,21,28.4,14.5,,,,,
05-04-1990,26.8,20.4,31.4,0,,,,,
06-04-1990,27.9,23,33,,,,,,
07-04-1990,27.4,19.5,33,33.3,,,,,
08-04-1990,27.7,20,,10.7,,,,,
09-04-1990,29.9,23,35.8,0,,,,,
10-04-1990,30,25.8,,0,,,,,
11-04-1990,30,26,34.8,0,,,,,
12-04-1990,30.7,26,35.4,,,,,,
13-04-1990,29.8,26.6,34.8,0,,,,,
14-04-1990,29.6,25.9,35.4,0,,,,,
15-04-1990,29.2,,34,0,,,,,
16-04-1990,29.1,26.2,34.1,0,,,,,
17-04-1990,28.7,25.4,32.7,0,,,,,
18-04-1990,29.4,25,34.4,0,,,,,
19-04-1990,29.9,26,34.8,0,,,,,
20-04-1990,30,26.5,38.3,0,,,,,
21-04-1990,30.8,27,36.5,,,,,,
22-04-1990,31.5,,36.9,0,,,,,
23-04-1990,30.1,26.4,36,0,,,,,
24-04-1990,29.9,26.3,36.1,0,,,,,
25-04-1990,29.9,26.5,35.4,0,,,,,
26-04-1990,29.9,25.6,36.4,0,,,,,
27-04-1990,29.2,,34,0,,,,,
28-04-1990,28.4,,35,0,,,,,
29-04-1990,23,,29.1,,,,,,
30-04-1990,27,22,33.9,0,,,,,
01-05-1990,26.9,20.6,33.2,13.7,,,,,
02-05-1990,29.2,24.5,34.8,0,,,,,
03-05-1990,29.2,24.3,34,0,,,,,
04-05-1990,27.8,25,34,,,,,,
05-05-1990,27.8,23.7,,0,,,,,
06-05-1990,28.8,24.6,33.4,0,,,,,
07-05-1990,30.1,25,32.7,,,,,,
08-05-1990,29.1,25.6,33.3,0,,,,,
09-05-1990,28.4,,32.8,,,,,,
10-05-1990,28.6,24.5,33.4,,,,,,
11-05-1990,27.1,23.5,31.5,31.8,,,,,
12-05-1990,26.8,24.5,31,8.6,,,,,
13-05-1990,26.6,23.5,31.1,9.9,,,,,
14-05-1990,26.9,24,29.7,15.5,,,,,
15-05-1990,28.2,25,33.2,0.5,,,,,
16-05-1990,30.1,26,34.9,5.1,,,,,
17-05-1990,,,,,,,,,
18-05-1990,29.6,22.4,35,19.8,,,,,
19-05-1990,30.2,27.6,,0,,,,,
20-05-1990,31.4,27.4,,0,,,,,
21-05-1990,30.8,,35.8,0,,,,,
22-05-1990,31,25.2,38,0,,,,,
23-05-1990,31.2,,,,,,,,
24-05-1990,31.7,,35.1,4.8,,,,,
25-05-1990,,,,,,,,,
26-05-1990,,,,,,,,,
27-05-1990,,,,,,,,,
28-05-1990,,,,,,,,,
29-05-1990,,,,,,,,,
30-05-1990,,,,,,,,,
31-05-1990,31.1,28,36.9,0,,,,,
01-06-1990,31.9,27.8,37.6,,,,,,
02-06-1990,30.3,,38.9,,,,,,
03-06-1990,30.2,21.3,33.2,41.1,,,,,
04-06-1990,32,26.4,36.4,0,,,,,
05-06-1990,30.8,,35.4,0,,,,,
06-06-1990,28.7,,35.3,,,,,,
07-06-1990,30.5,25,35.6,,,,,,
08-06-1990,30.9,26.8,36.2,0,,,,,
09-06-1990,30.8,26.5,35.2,0,,,,,
10-06-1990,30.6,27,35.4,0,,,,,
11-06-1990,30.3,,,,,,,,
12-06-1990,27.6,,37.1,,,,,,
13-06-1990,27.3,,29.4,,,,,,
14-06-1990,26.7,24,28.9,9.9,,,,,
15-06-1990,29.3,,33.6,0,,,,,
16-06-1990,29,24.4,34.6,40.4,,,,,
17-06-1990,29.8,26.4,32.2,2.8,,,,,
18-06-1990,28.9,25.6,32.8,0,,,,,
19-06-1990,28.3,26.2,33.6,0.5,,,,,
20-06-1990,28.8,27,33.4,14.2,,,,,
21-06-1990,30.2,26.2,34.4,10.4,,,,,
22-06-1990,29.5,,33.9,0,,,,,
23-06-1990,29,25.8,34.1,3.6,,,,,
24-06-1990,27.7,,31.2,0,,,,,
25-06-1990,26.3,23.9,28.4,13.2,,,,,
26-06-1990,28.5,,32.8,0.5,,,,,
27-06-1990,27.3,22.5,31.9,28.7,,,,,
28-06-1990,28.5,24.5,32.3,5.6,,,,,
29-06-1990,28.3,23.9,33.6,17.5,,,,,
30-06-1990,28.8,24.4,33.9,6.1,,,,,
01-07-1990,27.7,26,31.3,1.8,,,,,
02-07-1990,27.7,24.4,29.5,15.5,,,,,
03-07-1990,27.9,,30.2,4.1,,,,,
04-07-1990,28.1,25,32,0,,,,,
05-07-1990,28.7,26,30.3,0,,,,,
06-07-1990,26.8,,30.4,0.5,,,,,
07-07-1990,26.3,23.5,30.4,21.8,,,,,
08-07-1990,25.1,23.4,33.8,18,,,,,
09-07-1990,27.8,22.6,31.4,35.1,,,,,
10-07-1990,25.6,23.5,,5.8,,,,,
11-07-1990,26.5,24,31.5,9.7,,,,,
12-07-1990,26.6,23.4,30.4,76.2,,,,,
13-07-1990,26,23.8,29.1,1.8,,,,,
14-07-1990,27.7,23.8,29.7,23.6,,,,,
15-07-1990,27.5,25.5,,0,,,,,
16-07-1990,28.8,24.8,,,,,,,
17-07-1990,,,,,,,,,
18-07-1990,,,,,,,,,
19-07-1990,27.1,25,31,24.1,,,,,
20-07-1990,26.2,24.2,32,22.1,,,,,
21-07-1990,28.1,24,32,0.5,,,,,
22-07-1990,26.9,25,31.6,0,,,,,
23-07-1990,27.3,24,29.8,43.2,,,,,
24-07-1990,29.5,25.6,33,1.5,,,,,
25-07-1990,28.9,25.5,,0,,,,,
26-07-1990,30.1,25.6,,4.3,,,,,
27-07-1990,29.7,25.8,36.3,0,,,,,
28-07-1990,28.2,,33.7,0,,,,,
29-07-1990,28.3,24.2,33,35.3,,,,,
30-07-1990,30,,33.5,0,,,,,
31-07-1990,29.3,26.5,34.4,,,,,,
01-08-1990,29.8,25.6,33.9,0,,,,,
02-08-1990,27.3,24,33.2,13,,,,,
03-08-1990,28.9,23.5,32.8,2,,,,,
04-08-1990,29.5,26.3,34.2,0,,,,,
05-08-1990,30,26,34.4,5.3,,,,,
06-08-1990,30.2,26.6,33.7,0,,,,,
07-08-1990,28.6,24.6,,,,,,,
08-08-1990,28.2,23.6,32.6,,,,,,
09-08-1990,27.2,25,32,,,,,,
10-08-1990,29.4,25.2,32.3,,,,,,
11-08-1990,29.3,25.6,33.6,0,,,,,
12-08-1990,28.9,26.2,,0,,,,,
13-08-1990,29.2,,34,,,,,,
14-08-1990,27.6,24.2,32,19.1,,,,,
15-08-1990,27.6,25.5,29.9,18.8,,,,,
16-08-1990,27.4,25,30.4,19.1,,,,,
17-08-1990,27.2,,29.4,8.6,,,,,
18-08-1990,27.1,24.2,32.4,24.9,,,,,
19-08-1990,28.3,24.4,33.3,8.4,,,,,
20-08-1990,27.3,24.8,31.8,6.1,,,,,
21-08-1990,25.9,24.2,26.9,80.5,,,,,
22-08-1990,28.3,,31.5,3,,,,,
23-08-1990,28.7,26.2,32.2,3.8,,,,,
24-08-1990,29.8,26.2,34.5,0,,,,,
25-08-1990,29.7,25.8,34.8,0,,,,,
26-08-1990,28.8,,33,3.6,,,,,
27-08-1990,26.7,23.2,,47,,,,,
28-08-1990,28.1,24,31.6,49,,,,,
29-08-1990,27.9,25.4,30.4,4.6,,,,,
30-08-1990,28.5,25.4,33.6,3,,,,,
31-08-1990,29.1,26,32.1,1.3,,,,,
01-09-1990,29.8,25.2,33.1,0,,,,,
02-09-1990,28.2,25.6,30.4,,,,,,
03-09-1990,26.9,23.8,29.9,0.3,,,,,
04-09-1990,27.1,,32,0,,,,,
05-09-1990,27.8,23,,3.8,,,,,
06-09-1990,26.6,25,29.4,1,,,,,
07-09-1990,27.2,24.2,31.6,7.4,,,,,
08-09-1990,28.3,24.5,32.4,0,,,,,
09-09-1990,30.9,25.5,34.6,0,,,,,
10-09-1990,28.5,,34.6,,,,,,
11-09-1990,27.7,24.5,32.6,7.1,,,,,
12-09-1990,26.1,23.3,27.9,12.4,,,,,
13-09-1990,26.7,23.5,28.6,16,,,,,
14-09-1990,28,24.1,31.7,8.4,,,,,
15-09-1990,29.4,25,33.3,5.6,,,,,
16-09-1990,29.8,25.5,33.9,0,,,,,
17-09-1990,29.8,24.6,35,0,,,,,
18-09-1990,28.7,25.5,33.6,0,,,,,
19-09-1990,30.1,25.3,34.4,,,,,,
20-09-1990,28.3,,31.7,4.6,,,,,
21-09-1990,26.3,24.7,32.1,0.5,,,,,
22-09-1990,26.3,23.2,32.7,75.7,,,,,
23-09-1990,26.9,23.4,,14.5,,,,,
24-09-1990,27.4,23.2,,22.9,,,,,
25-09-1990,28.5,24.5,32.5,13,,,,,
26-09-1990,28.6,24.6,32.5,0,,,,,
27-09-1990,28.8,,32.9,0,,,,,
28-09-1990,28.4,25.6,,0,,,,,
29-09-1990,28,24.5,33.5,0,,,,,
30-09-1990,28.2,24.5,32.4,,,,,,
01-10-1990,26.1,24.5,30.7,2.8,,,,,
02-10-1990,26.9,24,31.1,3.6,,,,,
03-10-1990,26.4,24,30,3.3,,,,,
04-10-1990,27,24.5,32,0,,,,,
05-10-1990,26.8,24,,23.1,,,,,
06-10-1990,28.1,24.7,32.5,0,,,,,
07-10-1990,26.1,24.5,27.4,86.1,,,,,
08-10-1990,27.5,23.6,30.5,20.3,,,,,
09-10-1990,27.9,24.8,32.4,1.8,,,,,
10-10-1990,26.5,23.4,31.3,0,,,,,
11-10-1990,26.6,,29.5,0.5,,,,,
12-10-1990,26.8,23.5,31.7,1.8,,,,,
13-10-1990,26.4,23.2,31,0.8,,,,,
14-10-1990,26.3,22,31.1,6.1,,,,,
15-10-1990,27.7,22.1,32.3,0,,,,,
16-10-1990,27.7,23,31.4,0,,,,,
17-10-1990,26.6,,31.4,0,,,,,
18-10-1990,25.3,18.5,31.4,0,,,,,
19-10-1990,24.8,,31.4,0,,,,,
20-10-1990,26.9,19.5,32,0,,,,,
21-10-1990,26.1,,31.1,0,,,,,
22-10-1990,26.7,20,31.9,0,,,,,
23-10-1990,26.1,22.5,31,0.5,,,,,
24-10-1990,24.3,21.5,,0,,,,,
25-10-1990,25,20.4,29.5,0,,,,,
26-10-1990,25.3,,32,0,,,,,
27-10-1990,25.7,19.5,31.8,0,,,,,
28-10-1990,25.7,,32.2,0,,,,,
29-10-1990,24.4,20.7,31.6,0,,,,,
30-10-1990,26,19.2,32.3,0,,,,,
31-10-1990,26.1,20.5,31.9,0,,,,,
01-11-1990,25.6,20.5,30.7,0,,,,,
02-11-1990,23.9,21,26.2,,,,,,
03-11-1990,23.3,20.2,,137.2,,,,,
04-11-1990,24.2,,25.9,97,,,,,
05-11-1990,25.8,23.2,30.5,25.7,,,,,
06-11-1990,27.8,,31.8,0,,,,,
07-11-1990,25.9,23.9,,11.7,,,,,
08-11-1990,25.2,,30.5,10.4,,,,,
09-11-1990,23.7,17.6,30,0,,,,,
10-11-1990,23.7,17.1,,0,,,,,
11-11-1990,25.1,17.5,29.7,0,,,,,
12-11-1990,24.9,21.3,29.5,,,,,,
13-11-1990,27.4,22.5,31.3,0,,,,,
14-11-1990,28.2,23,31.5,,,,,,
15-11-1990,24.7,21,32.2,,,,,,
16-11-1990,25.4,18.5,32,0,,,,,
17-11-1990,27.8,20.5,33.7,0,,,,,
18-11-1990,24.8,,,0,,,,,
19-11-1990,25.4,18.2,30.1,,,,,,
20-11-1990,22.9,16.6,29.6,0,,,,,
21-11-1990,25.8,17.8,31.2,,,,,,
22-11-1990,,,,,,,,,
23-11-1990,,,,,,,,,
24-11-1990,27.2,19.4,31.4,0,,,,,
25-11-1990,24.5,19.8,30.7,0,,,,,
26-11-1990,25.6,18.7,30.8,,,,,,
27-11-1990,22.2,16.1,,0,,,,,
28-11-1990,22.6,16,29.9,0,,,,,
29-11-1990,23.4,17.2,,0,,,,,
30-11-1990,23.1,17,,0,,,,,
01-12-1990,23.8,17.2,31.1,0,,,,,
02-12-1990,25.7,18.1,30.6,,,,,,
03-12-1990,25.2,17.5,30.4,,,,,,
04-12-1990,25.7,18.5,30.1,,,,,,
05-12-1990,22.4,18,30.2,0,,,,,
06-12-1990,23.7,,29.5,0,,,,,
07-12-1990,23,16,29.4,0,,,,,
08-12-1990,20.9,15.2,28.9,0,,,,,
09-12-1990,21.8,14.5,29,0,,,,,
10-12-1990,22.1,15.8,29.1,0,,,,,
11-12-1990,22.3,16.8,29.5,0,,,,,
12-12-1990,23.2,15.7,29.3,0,,,,,
13-12-1990,20.8,15,28,0,,,,,
14-12-1990,20.1,13.1,26.5,0,,,,,
15-12-1990,18.1,13,26.8,0,,,,,
16-12-1990,20.9,12.4,27.9,361.9,,,,,
17-12-1990,21.9,17.9,25.6,2.8,,,,,
